カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報
ヒナ,ST06-008_p2,ST06-008,CHARACTER,C,3,特,5000,0,黒,1,海軍,【登場時】相手のキャラ1枚までを、このターン中、コスト-4。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
ジンベエ,ST10-005_p1,ST10-005,CHARACTER,C,2,打,2000,2000,赤,2,魚人族/麦わらの一味,【ドン‼×1】【アタック時】相手のキャラ1枚までを、このターン中、パワー-2000。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
シャチ＆ペンギン,ST10-008_p2,ST10-008,CHARACTER,C,4,射,5000,2000,紫,2,ハートの海賊団,【登場時】自分の場のドン‼が3枚以下の場合、ドン‼デッキからドン‼2枚までを、レストで追加する。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
ペローナ,ST12-005_p1,ST12-005,CHARACTER,C,4,特,6000,1000,緑,2,シッケアール王国/スリラーバーク海賊団,-,,ONE PIECE CARD THE BEST vol.2【PRB-02】
整形ショット,ST12-017_p1,ST12-017,EVENT,C,1,,-,0,青,2,麦わらの一味,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のデッキの上から1枚を公開し、コスト2のキャラカード1枚までを、登場させる。その後、残りをデッキの上か下に置く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
エドワード・ニューゲート,ST13-004_p2,ST13-004,CHARACTER,C,6,特,7000,1000,黄,2,四皇/白ひげ海賊団,【登場時】自分のデッキの上から1枚をライフの上に加える。その後、自分のライフすべてを見て、1枚を自分のデッキの上に置き、ライフを好きな順番で置く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
サボ,ST13-007_p2,ST13-007,CHARACTER,C,2,打,2000,1000,黄,2,ゴア王国,【起動メイン】このキャラをトラッシュに置くことができる：自分のライフの上から1枚を公開し、そのカードがコスト5の「サボ」の場合、登場させてもよい。登場させた場合、自分のリーダー1枚までを、次の相手のターン終了時まで、パワー+2000。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
ポートガス・D・エース,ST13-010_p2,ST13-010,CHARACTER,C,2,打,2000,1000,黄,2,ゴア王国,【起動メイン】このキャラをトラッシュに置くことができる：自分のライフの上から1枚を公開し、そのカードがコスト5の「ポートガス・D・エース」の場合、登場させてもよい。登場させた場合、自分のリーダー1枚までを、次の相手のターン終了時まで、パワー+2000。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
モンキー・Ｄ・ルフィ,ST13-014_p2,ST13-014,CHARACTER,C,2,打,2000,1000,黄,2,ゴア王国,【起動メイン】このキャラをトラッシュに置くことができる：自分のライフの上から1枚を公開し、そのカードがコスト5の「モンキー・Ｄ・ルフィ」の場合、登場させてもよい。登場させた場合、自分のリーダー1枚までを、次の相手のターン終了時まで、パワー+2000。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
3兄弟の絆,ST13-019_p1,ST13-019,EVENT,C,1,,-,0,黄,2,ゴア王国,【メイン】自分のデッキの上から5枚を見て、コスト5以下の、「サボ」か「ポートガス・D・エース」か「モンキー・Ｄ・ルフィ」1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【メイン】効果を発動する。,ONE PIECE CARD THE BEST vol.2【PRB-02】
ニコ・ロビン,ST14-007_p1,ST14-007,CHARACTER,C,6,打,7000,1000,黒,2,麦わらの一味,【登場時】/【アタック時】自分のコスト8以上のキャラがいる場合、相手のキャラ1枚までを、このターン中、コスト-5。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
ブルック,ST14-010_p1,ST14-010,CHARACTER,C,5,斬,7000,1000,黒,2,麦わらの一味,-,,ONE PIECE CARD THE BEST vol.2【PRB-02】
ロロノア・ゾロ,ST14-013_p1,ST14-013,CHARACTER,C,6,斬,8000,1000,黒,2,麦わらの一味,-,,ONE PIECE CARD THE BEST vol.2【PRB-02】
仲間がいる゛よ!!!!,ST14-016_p1,ST14-016,EVENT,C,1,,-,0,黒,2,麦わらの一味,【メイン】カード1枚を引く。その後、自分のキャラ1枚までを、次の相手のターン終了時まで、コスト+3。,【トリガー】相手のコスト3以下のキャラ1枚までを、KOする。,ONE PIECE CARD THE BEST vol.2【PRB-02】
サウザンド・サニー号,ST14-017_p1,ST14-017,STAGE,C,1,,-,0,黒,2,麦わらの一味,自分の黒の特徴《麦わらの一味》を持つキャラすべてを、コスト+1。【登場時】自分のリーダーが特徴《麦わらの一味》を持つ場合、カード1枚を引く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
エドワード・ニューゲート,ST15-002_p2,ST15-002,CHARACTER,SR,7,特,8000,0,赤,3,四皇/白ひげ海賊団,【登場時】自分のリーダーかキャラ1枚にレストのドン‼1枚までを、付与する。【起動メイン】このキャラをレストにできる：相手のパワー5000以下のキャラ1枚までを、KOする。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
シャーロット・カタクリ,ST16-003_p1,ST16-003,CHARACTER,C,3,打,4000,1000,緑,3,FILM/ビッグ・マム海賊団,自分のリーダーが特徴《FILM》を持ち、自分のレストのカードが6枚以上ある場合、このキャラのパワー+2000。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
シャンクス,ST16-004_p2,ST16-004,CHARACTER,SR,9,斬,11000,0,緑,3,FILM/四皇/赤髪海賊団,【登場時】相手のレストのキャラ1枚までを、KOする。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
モンキー・Ｄ・ルフィ,ST16-005_p1,ST16-005,CHARACTER,C,2,打,3000,2000,緑,3,FILM/超新星/麦わらの一味,自分の「ウタ」がレストの場合、このキャラのパワー+1000。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
トラファルガー・ロー,ST17-002_p1,ST17-002,CHARACTER,SR,4,斬,5000,1000,青,3,王下七武海/ハートの海賊団,【登場時】自分のキャラ1枚を持ち主の手札に戻すことができる：自分のリーダーが特徴《王下七武海》を持つ場合、コスト4以下のキャラ1枚までを、持ち主の手札に戻す。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
バギー,ST17-003_p2,ST17-003,CHARACTER,C,1,斬,2000,2000,青,3,王下七武海/バギーズデリバリー,【登場時】自分のデッキの上から3枚を見て、好きな順番に並び替え、デッキの上に置く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
マーシャル・Ｄ・ティーチ,ST17-005_p1,ST17-005,CHARACTER,C,2,特,3000,1000,青,3,王下七武海/黒ひげ海賊団,【起動メイン】【ターン1回】自分の手札1枚をデッキの上に置くことができる：自分のリーダーかキャラ1枚にレストのドン‼2枚までを、付与する。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
ウソ八,ST18-001_p2,ST18-001,CHARACTER,C,3,射,3000,2000,紫,3,麦わらの一味,【登場時】自分の場のドン‼が8枚以上ある場合、相手のコスト5以下のキャラ1枚までを、レストにする。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
ウソ八,ST18-001_p3,ST18-001,CHARACTER,C,3,射,3000,2000,紫,3,麦わらの一味,【登場時】自分の場のドン‼が8枚以上ある場合、相手のコスト5以下のキャラ1枚までを、レストにする。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
おナミ,ST18-002_p2,ST18-002,CHARACTER,C,4,特,2000,1000,紫,3,麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分の場のドン‼が8枚以上ある場合、自分の手札1枚を捨て、カード2枚を引く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
サン五郎,ST18-003_p1,ST18-003,CHARACTER,C,5,打,6000,1000,紫,3,麦わらの一味,【アタック時】【ターン1回】自分の場のドン‼が8枚以上ある場合、カード1枚を引く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
センゴク,ST19-002_p2,ST19-002,CHARACTER,C,1,知,1000,1000,黒,3,海軍,【登場時】自分の手札から黒の特徴《海軍》を持つカード2枚を捨てることができる：自分のリーダーが特徴《海軍》を持つ場合、カード3枚を引く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
シャーロット・ブリュレ,ST20-003_p1,ST20-003,CHARACTER,C,3,特,3000,2000,黄,3,ビッグ・マム海賊団,-,【トリガー】自分か相手のライフの上から1枚までを見て、ライフの上か下に置く。その後、このカードを手札に加える。,ONE PIECE CARD THE BEST vol.2【PRB-02】
サンジ,ST21-003_p2,ST21-003,CHARACTER,C,2,打,3000,2000,赤,3,麦わらの一味,【登場時】自分のパワー6000以上の特徴《麦わらの一味》を持つキャラ1枚までを選ぶ。相手は、このターン中、選んだキャラがアタックする場合【ブロッカー】を発動できない。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
モンキー・Ｄ・ルフィ,EB02-061_p3,EB02-061,CHARACTER,SPカード,6,打,7000,0,紫,3,W7/麦わらの一味,自分のリーダーが多色で、相手の場のドン‼が5枚以上ある場合、このキャラは【速攻】を得る。【アタック時】【ターン1回】自分のアクティブのドン‼2枚をドン‼デッキに戻すことができる：このキャラをアクティブにする。その後、自分のライフの上から1枚を手札に加える。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
レベッカ,OP05-091_p4,OP05-091,CHARACTER,SPカード,4,知,-,1000,黒,2,ドレスローザ,【ブロッカー】【登場時】自分のトラッシュの「レベッカ」以外のコスト3から7の黒のキャラカード1枚までを、手札に加える。その後、自分の手札からコスト3以下の黒のキャラカード1枚までを、レストで登場させる。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
シャンクス,OP06-007_p2,OP06-007,CHARACTER,SPカード,10,斬,12000,0,赤,2,FILM/四皇/赤髪海賊団,【登場時】相手のパワー10000以下のキャラ1枚までを、KOする。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
シャーロット・プリン,OP06-047_p3,OP06-047,CHARACTER,SPカード,4,知,4000,1000,青,2,ビッグ・マム海賊団,【登場時】相手は自身の手札すべてをデッキに戻しシャッフルする。その後、相手はカード5枚を引く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
キャロット,OP08-023_p2,OP08-023,CHARACTER,SPカード,5,特,6000,1000,緑,2,ミンク族,【登場時】/【アタック時】相手のレストのコスト7以下のキャラ1枚までは、次の相手のリフレッシュフェイズでアクティブにならない。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
来い…!!!おれ達が相手をしてやる!!!,OP09-020_p2,OP09-020,EVENT,SPカード,1,,-,0,赤,3,四皇/赤髪海賊団,【メイン】自分のデッキの上から5枚を見て、「来い…!!!おれ達が相手をしてやる!!!」以外の特徴《赤髪海賊団》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】カード1枚を引く。,ONE PIECE CARD THE BEST vol.2【PRB-02】
クロスギルド,OP09-057_p2,OP09-057,EVENT,SPカード,1,,-,0,青,3,クロスギルド,【メイン】自分のデッキの上から4枚を見て、特徴《クロスギルド》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【メイン】効果を発動する。,ONE PIECE CARD THE BEST vol.2【PRB-02】
ゴムゴムの巨人,OP09-078_p2,OP09-078,EVENT,SPカード,1,,-,0,紫,3,四皇/麦わらの一味,"【カウンター】ドン‼-2,自分の手札1枚を捨てることができる：自分のリーダーが特徴《麦わらの一味》を持つ場合、自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。その後、カード2枚を引く。",,ONE PIECE CARD THE BEST vol.2【PRB-02】
おれの時代だァ!!!!,OP09-096_p1,OP09-096,EVENT,SPカード,1,,-,0,黒,3,黒ひげ海賊団,【メイン】自分のデッキの上から3枚を見て、「おれの時代だァ!!!!」以外の特徴《黒ひげ海賊団》を持つカード1枚までを公開し、手札に加える。その後、残りをトラッシュに置く。,【トリガー】このカードの【メイン】効果を発動する。,ONE PIECE CARD THE BEST vol.2【PRB-02】
トラファルガー・ロー,OP10-119_p3,OP10-119,CHARACTER,SPカード,7,斬,9000,0,黄,3,ドレスローザ/超新星/ハートの海賊団,【登場時】自分の手札から特徴《超新星》を持つキャラカード1枚までを公開し、ライフの上に裏向きで加える。その後、自分の特徴《超新星》を持つリーダー1枚にレストのドン‼1枚までを、付与する。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
モンキー・D・ルフィ,ST01-001_p1,ST01-001,LEADER,L,-,打,5000,0,赤,1,超新星/麦わらの一味,【起動メイン】【ターン1回】このリーダーか自分のキャラ1枚にレストのドン!!1枚までを付与する。,,ファミリーデッキセット
ユースタス・キッド,ST02-001_p1,ST02-001,LEADER,L,-,特,5000,0,緑,1,超新星/キッド海賊団,【起動メイン】【ターン1回】③(コストエリアのドン!!を指定の数レストにできる)，自分の手札1枚を捨てることができる：このリーダーをアクティブにする。,,ファミリーデッキセット
ヤマト,EB01-007_p1,EB01-007,CHARACTER,C,5,打,5000,2000,赤,2,ワノ国,【起動メイン】【ターン1回】自分のリーダーかキャラ1枚にレストのドン!!1枚までを、付与する。,,プレミアムカードコレクション - ベストセレクション vol.4 -
エドワード・ウィーブル,EB01-023_p1,EB01-023,CHARACTER,R,4,斬,6000,0,青,2,王下七武海,【登場時】カード1枚を引く。,,ONE PIECE カードゲーム China 2nd ANNIVERSARY SET
スパンダイン,EB01-043_p1,EB01-043,CHARACTER,R,3,知,2000,1000,黒,2,CP9,【登場時】自分のトラッシュの『CP』を含む特徴を持つカード3枚を好きな順番でデッキの下に置くことができる：自分のトラッシュから「スパンダイン」以外のコスト4以下の『CP』を含む特徴を持つキャラカード1枚までを、レストで登場させる。,,プレミアムブースター ONE PIECE CARD THE BEST ストレージボックスセット
スパンダイン,EB01-043_p2,EB01-043,CHARACTER,R,3,知,2000,1000,黒,2,CP9,【登場時】自分のトラッシュの『CP』を含む特徴を持つカード3枚を好きな順番でデッキの下に置くことができる：自分のトラッシュから「スパンダイン」以外のコスト4以下の『CP』を含む特徴を持つキャラカード1枚までを、レストで登場させる。,,プレミアムブースター ONE PIECE CARD THE BEST ストレージボックスセット
ゴーイング・メリー号,EB02-041_p1,EB02-041,STAGE,R,1,,-,0,紫,3,麦わらの一味,【登場時】自分のリーダーが特徴《麦わらの一味》を持つ場合、カード1枚を引く。【起動メイン】このステージをレストにできる：自分の場のドン‼が相手の場のドン‼の枚数以下の場合、自分の特徴《麦わらの一味》を持つキャラ1枚までを、次の相手のターン終了時まで、コスト+2。,,プレミアムカードコレクション - ベストセレクション vol.5 -
ロロノア・ゾロ,OP01-001_p1,OP01-001,LEADER,L,-,斬,5000,0,赤,1,超新星/麦わらの一味,【ドン‼×1】【自分のターン中】自分のキャラすべてを、パワー+1000。,,プレミアムカードコレクション 25周年エディション
ロロノア・ゾロ,OP01-001_p3,OP01-001,LEADER,L,-,斬,5000,0,赤,1,超新星/麦わらの一味,【ドン‼×1】【自分のターン中】自分のキャラすべてを、パワー+1000。,,週刊少年ジャンプ応募者全員サービス
ウタ,OP01-005_p2,OP01-005,CHARACTER,R,4,特,4000,0,赤,1,FILM,【登場時】自分のトラッシュの「ウタ」以外のコスト3以下の赤のキャラカード1枚までを、手札に加える。,,プレミアムカードコレクション ‐ONE PIECE FILM RED ‐
ウタ,OP01-005_p3,OP01-005,CHARACTER,R,4,特,4000,0,赤,1,FILM,【登場時】自分のトラッシュの「ウタ」以外のコスト3以下の赤のキャラカード1枚までを、手札に加える。,,プレミアムカードコレクション-ウタ-
お玉,OP01-006_p4,OP01-006,CHARACTER,UC,1,特,-,2000,赤,1,ワノ国,【登場時】相手のキャラ1枚までを、このターン中、パワー-2000。,,1st ANNIVERSARY SET
サンジ,OP01-013_p1,OP01-013,CHARACTER,R,2,打,3000,2000,赤,1,麦わらの一味,【起動メイン】【ターン1回】自分のライフ1枚を手札に加えることができる：このキャラは、このターン中、パワー+2000。その後、このキャラにレストのドン‼2枚までを付与する。,,プレミアムカードコレクション 25周年エディション
ジンベエ,OP01-014_p2,OP01-014,CHARACTER,UC,4,打,5000,0,赤,1,魚人族/麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ドン!!×1】【ブロック時】自分の手札からコスト2以下の赤のキャラカード1枚までを、登場させる。,,プレミアムカードコレクション ‐ONE PIECE FILM RED ‐
ナミ,OP01-016_p1,OP01-016,CHARACTER,R,1,特,2000,1000,赤,1,麦わらの一味,【登場時】自分のデッキの上から5枚を見て、「ナミ」以外の特徴《麦わらの一味》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,プレミアムカードコレクション 25周年エディション
ニコ・ロビン,OP01-017_p2,OP01-017,CHARACTER,R,3,打,4000,1000,赤,1,麦わらの一味,【ドン!!×1】【アタック時】相手のパワー3000以下のキャラ1枚までを、KOする。,,プレミアムカードコレクション ‐ONE PIECE FILM RED ‐
フランキー,OP01-021_p4,OP01-021,CHARACTER,UC,3,射,4000,0,赤,1,麦わらの一味,【ドン!!×1】このキャラは、相手のアクティブのキャラにもアタックできる。,,プレミアムカードコレクション ‐ONE PIECE FILM RED ‐
ブルック,OP01-022_p1,OP01-022,CHARACTER,UC,4,斬,5000,1000,赤,1,麦わらの一味,【ドン‼×1】【アタック時】相手のキャラ2枚までを、このターン中、パワー-2000。,,プレミアムカードコレクション 25周年エディション
ラディカルビ～～～ム‼‼,OP01-029_p2,OP01-029,EVENT,UC,1,,-,0,赤,1,麦わらの一味,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のライフが2枚以下の場合、そのカードを、このバトル中、パワー+2000。,【トリガー】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,プレミアムカードコレクション - ベストセレクションvol.1 -
2年後に!!!シャボンディ諸島で!!!,OP01-030_p1,OP01-030,EVENT,UC,1,,-,0,赤,1,麦わらの一味,【メイン】自分のデッキの上から5枚を見て、特徴《麦わらの一味》を持つキャラカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【メイン】効果を発動する。,2nd ANNIVERSARY SET
桃源白滝,OP01-057_p2,OP01-057,EVENT,UC,1,,-,0,緑,1,ワノ国/光月家,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のキャラ1枚までを、アクティブにする。,【トリガー】相手のレストのコスト4以下のキャラ1枚までを、KOする。,プレミアムカードコレクション - ベストセレクションvol.1 -
X・ドレーク,OP01-114_p2,OP01-114,CHARACTER,R,5,斬,5000,2000,紫,1,海軍/ドレーク海賊団/百獣海賊団,【登場時】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手は自身の手札1枚を捨てる。,,プレミアムカードコレクション - ベストセレクションvol.2 -
エドワード・ニューゲート,OP02-001_p3,OP02-001,LEADER,L,-,特,6000,0,赤,1,四皇/白ひげ海賊団,【自分のターン終了時】自分のライフの上から1枚を手札に加える。,,チャンピオンシップセット2023(旧四皇)
カーリー・ダダン,OP02-005_p2,OP02-005,CHARACTER,UC,2,斬,3000,1000,赤,1,山賊,【登場時】自分のデッキの上から5枚までを見て、コスト1の赤のキャラ1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,プレミアムカードコレクション - ベストセレクションvol.1 -
ポートガス・D・エース,OP02-013_p5,OP02-013,CHARACTER,SR,7,特,7000,0,赤,1,白ひげ海賊団,【登場時】相手のキャラ2枚までを、このターン中、パワー-3000。その後、自分のリーダーが『白ひげ海賊団』を含む特徴を持つ場合、このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,2nd ANNIVERSARY SET
マキノ,OP02-015_p3,OP02-015,CHARACTER,UC,1,知,-,2000,赤,1,フーシャ村,【起動メイン】このキャラをレストにできる：自分のコスト1の赤のキャラ1枚までを、このターン中、パワー+3000。,,1st ANNIVERSARY SET
ナミ,OP02-036_p3,OP02-036,CHARACTER,SR,3,特,5000,0,緑,1,FILM/麦わらの一味,【登場時】/【アタック時】➀(コストエリアのドン‼を指定の数レストにできる)：自分のデッキの上から3枚を見て、「ナミ」以外の特徴《FILM》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,プレミアムカードコレクション - ベストセレクションvol.1 -
つる,OP02-106_p2,OP02-106,CHARACTER,UC,1,知,-,2000,黒,1,海軍,【登場時】相手のキャラ1枚までを、このターン中、コスト-2。,,プレミアムカードコレクション - ベストセレクションvol.1 -
氷河時代,OP02-117_p2,OP02-117,EVENT,UC,1,,-,0,黒,1,海軍,【メイン】相手のキャラ1枚までを、このターン中、コスト-5。,【トリガー】相手のコスト3以下のキャラ1枚までを、KOする。,プレミアムカードコレクション - ベストセレクションvol.1 -
ウタ,OP02-120_p3,OP02-120,CHARACTER,SEC,8,特,8000,0,紫,1,FILM,【登場時】ドン‼-2(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：自分のリーダーとキャラすべてを、次の自分のターン開始時まで、パワー+1000。,,プレミアムカードコレクション-ウタ-
ポートガス・D・エース,OP03-001_p2,OP03-001,LEADER,L,-,特,5000,0,赤,1,白ひげ海賊団,このリーダーがアタックした時かアタックされた時、自分の手札から任意の枚数イベントかステージカードを捨ててもよい。捨てたカード1枚につき、このリーダーは、このバトル中、パワー+1000。,,チャンピオンシップセット2023（エース・サボ・ルフィ）
マルコ,OP03-013_p3,OP03-013,CHARACTER,SR,5,特,6000,1000,赤,1,白ひげ海賊団,【自分のターン中】【登場時】相手のパワー3000以下のキャラ1枚までを、KOする。【KO時】自分の手札からイベント1枚を捨てることができる：このキャラカードをトラッシュからレストで登場させる。,,1st ANNIVERSARY SET
カヤ,OP03-044_p3,OP03-044,CHARACTER,R,1,知,-,2000,青,1,東の海,【登場時】カード2枚を引き、自分の手札2枚を捨てる。,,2nd ANNIVERSARY SET
ゴムゴムの大槌,OP03-055_p1,OP03-055,EVENT,C,1,,-,0,青,1,東の海/麦わらの一味,【カウンター】自分の手札1枚を捨てることができる：自分のリーダー1枚までを、このバトル中、パワー+4000。その後、自分のデッキの上から2枚をトラッシュに置いてもよい。,【トリガー】コスト4以下のキャラ1枚までを、持ち主の手札に戻す。,プレミアムカードコレクション - ベストセレクションvol.2 -
雷霆,OP03-121_p2,OP03-121,EVENT,C,2,,-,0,黄,1,四皇/ビッグ・マム海賊団,【メイン】自分のライフの上から1枚をトラッシュに置くことができる：相手のコスト5以下のキャラ1枚までを、KOする。,【トリガー】相手のコスト5以下のキャラ1枚までを、KOする。,プレミアムカードコレクション - ベストセレクションvol.1 -
ベビー5,OP04-032_p3,OP04-032,CHARACTER,UC,1,特,1000,2000,緑,1,ドンキホーテ海賊団,【自分のターン終了時】このキャラをトラッシュに置くことができる：自分のドン‼2枚までを、アクティブにする。,,プレミアムカードコレクション-ベストセレクションvol.3-
サボ,OP04-083_p5,OP04-083,CHARACTER,SR,5,特,6000,1000,黒,1,ドレスローザ/革命軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分のキャラすべては、次の自分のターン開始時まで、効果でKOされない。その後、カード2枚を引き、自分の手札2枚を捨てる。,,2nd ANNIVERSARY SET
バ～～～～リアッ!!,OP04-095_p1,OP04-095,EVENT,C,1,,-,0,黒,1,ドレスローザ/バルトクラブ,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分のトラッシュが15枚以上ある場合、そのカードを、このバトル中、パワー+2000。,【トリガー】カード2枚を引き、自分の手札1枚を捨てる。,プレミアムカードコレクション - ベストセレクションvol.2 -
シャーロット・アマンド,OP04-105_p2,OP04-105,CHARACTER,R,3,斬,3000,2000,黄,1,ビッグ・マム海賊団,【起動メイン】【ターン1回】自分の手札から【トリガー】を持つカード1枚を捨てることができる：相手のコスト2以下のキャラ1枚までを、レストにする。,,プレミアムカードコレクション - ベストセレクションvol.1 -
エンポリオ・イワンコフ,OP05-004_p1,OP05-004,CHARACTER,UC,4,特,5000,1000,赤,2,革命軍,【起動メイン】【ターン1回】このキャラのパワーが7000以上の場合、自分の手札から「エンポリオ・イワンコフ」以外のパワー5000以下の特徴《革命軍》を持つキャラカード1枚までを、登場させる。,,プレミアムカードコレクション-ベストセレクションvol.3-
カラス,OP05-005_p1,OP05-005,CHARACTER,R,4,特,5000,1000,赤,2,革命軍,【登場時】自分のリーダーが特徴《革命軍》を持つ場合、相手のリーダーかキャラ1枚までを、このターン中、パワー-1000。【アタック時】このキャラのパワーが7000以上の場合、相手のリーダーかキャラ1枚までを、このターン中、パワー-1000。,,プレミアムカードコレクション - ベストセレクションvol.2 -
バーソロミュー・くま,OP05-011_p1,OP05-011,CHARACTER,C,2,打,2000,1000,赤,2,王下七武海/革命軍,【登場時】相手のパワー2000以下のキャラ1枚までを、KOする。,【トリガー】自分のリーダーが多色の場合、このカードを登場させる。,ONE PIECE カードゲーム China 2nd ANNIVERSARY SET
火拳,OP05-019_p1,OP05-019,EVENT,R,2,,-,0,赤,2,革命軍,【メイン】相手のキャラ1枚までを、このターン中、パワー-4000。その後、自分のライフが2枚以下の場合、相手のパワー0以下のキャラ1枚までを、KOする。,【トリガー】このカードの【メイン】効果を発動する。,プレミアムカードコレクション - ベストセレクションvol.2 -
ドンキホーテ・ロシナンテ,OP05-030_p1,OP05-030,CHARACTER,R,2,特,1000,1000,緑,2,海軍/ドンキホーテ海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【相手のターン中】自分のレストのキャラがKOされる場合、代わりにこのキャラをトラッシュに置くことができる。,,2nd ANNIVERSARY SET
ロブ・ルッチ,OP05-093_p3,OP05-093,CHARACTER,SR,4,打,6000,0,黒,2,CP0,【登場時】自分のトラッシュのカード3枚を好きな順番でデッキの下に置くことができる：相手の、コスト2以下のキャラ1枚までとコスト1以下のキャラ1枚までを、KOする。,,プレミアムブースター ONE PIECE CARD THE BEST ストレージボックスセット
ロブ・ルッチ,OP05-093_p4,OP05-093,CHARACTER,SR,4,打,6000,0,黒,2,CP0,【登場時】自分のトラッシュのカード3枚を好きな順番でデッキの下に置くことができる：相手の、コスト2以下のキャラ1枚までとコスト1以下のキャラ1枚までを、KOする。,,プレミアムブースター ONE PIECE CARD THE BEST ストレージボックスセット
エネル,OP05-098_p4,OP05-098,LEADER,L,-,特,5000,0,黄,2,空島,【相手のターン中】【ターン1回】自分のライフが0枚になった時、自分のデッキの上から1枚を、ライフの上に加える。その後、自分の手札1枚を捨てる。,,ONE PIECEカードゲーム BASE SHOPリミテッドカードコレクションvol.1
神の裁き,OP05-114_p1,OP05-114,EVENT,UC,1,,-,0,黄,2,空島,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、相手のライフが2枚以下の場合、そのカードを、このバトル中、パワー+2000。,【トリガー】相手のライフの枚数以下のコストを持つ相手のキャラ1枚までを、KOする。,プレミアムカードコレクション - ベストセレクションvol.2 -
モンキー・D・ルフィ,OP05-119_p8,OP05-119,CHARACTER,SEC,10,打,12000,0,紫,2,四皇/麦わらの一味,【登場時】ドン!!-10：このキャラ以外の自分のキャラすべてを好きな順番でデッキの下に置く。その後、このターンの後に自分のターンを追加で得る。【起動メイン】【ターン1回】➀：ドン!!デッキからドン!!1枚までを、アクティブで追加する。,,ONE PIECE カードゲーム English 2nd ANNIVERSARY SET
レイズ・マックス,OP06-016_p1,OP06-016,CHARACTER,UC,1,知,2000,0,赤,2,FILM/革命軍,【起動メイン】このキャラを持ち主のデッキの下に置くことができる：相手のキャラ1枚までを、このターン中、パワー-3000。,,プレミアムカードコレクション-ベストセレクションvol.3-
