カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報
ココロのちず,EB02-050,EB02-050,EVENT,R,2,,-,0,黒,3,音楽,【メイン】自分のデッキの上から4枚を見て、コスト4以上のカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【メイン】効果を発動する。,エクストラブースター Anime 25th collection【EB-02】
鼻唄三丁矢筈斬り,EB02-051,EB02-051,EVENT,C,3,,-,0,黒,3,元ルンバー海賊団,【メイン】以下から1つを選ぶ。・相手のコスト2以下のキャラ1枚までを、KOする。・相手のキャラ1枚までを、このターン中、コスト-4。,,エクストラブースター Anime 25th collection【EB-02】
エネル,EB02-052,EB02-052,CHARACTER,SR,10,特,11000,0,黄,3,空島,自分のリーダーが特徴《空島》を持つ場合、このキャラは【速攻】を得る。【アタック時】自分の手札1枚を捨てることができる：自分のライフが1枚以下の場合、自分のデッキの上から1枚までを、ライフの上に加える。その後、このキャラは、このターン中、パワー+1000。,,エクストラブースター Anime 25th collection【EB-02】
オルガ・ミスキナ,EB02-053,EB02-053,CHARACTER,C,3,知,4000,1000,黄,3,アルケミ,【登場時】/【KO時】自分か相手のライフの上から1枚までを見て、ライフの上か下に置く。,,エクストラブースター Anime 25th collection【EB-02】
サンジ,EB02-054,EB02-054,CHARACTER,R,5,打,6000,1000,黄,3,東の海/麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分のライフが2枚以下の場合、カード2枚を引き、自分の手札1枚を捨てる。,,エクストラブースター Anime 25th collection【EB-02】
ジンベエ,EB02-055,EB02-055,CHARACTER,R,4,打,5000,2000,黄,3,魚人族/麦わらの一味,-,【トリガー】自分のリーダーが特徴《魚人族》か《人魚族》を持ち、自分のライフが2枚以下の場合、このカードを登場させる。,エクストラブースター Anime 25th collection【EB-02】
ベガパンク,EB02-056,EB02-056,CHARACTER,SR,5,知,-,1000,黄,3,科学者/エッグヘッド,【ブロッカー】【登場時】自分のデッキの上から5枚を見て、「ベガパンク」以外のコスト5以下の特徴《科学者》を持つキャラカード1枚までを、登場させる。その後、残りを好きな順番でデッキの下に置き、相手のキャラが2枚以下の場合、自分の手札1枚を捨てる。,【トリガー】カード1枚を引く。,エクストラブースター Anime 25th collection【EB-02】
マッド・トレジャー,EB02-057,EB02-057,CHARACTER,C,4,特,5000,1000,黄,3,トレジャー海賊団,【アタック時】自分のライフの上か下から1枚を手札に加えることができる：相手のコスト3以下のキャラ1枚までを、相手のライフの上か下に表向きで加える。,,エクストラブースター Anime 25th collection【EB-02】
あーーっす！,EB02-058,EB02-058,EVENT,R,2,,-,0,黄,3,音楽,【メイン】自分のデッキの上から4枚を見て、コスト4以上のカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【メイン】効果を発動する。,エクストラブースター Anime 25th collection【EB-02】
お前がいねェと…!!おれは海賊王になれねェ!!!!,EB02-059,EB02-059,EVENT,C,4,,-,0,黄,3,麦わらの一味,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+1000。その後、自分のライフが1枚以下の場合、自分の手札からコスト5以下の黄の、特徴《麦わらの一味》を持つキャラカードか「サンジ」1枚までを、登場させる。,,エクストラブースター Anime 25th collection【EB-02】
ゴーイング・メリー号,EB02-060,EB02-060,STAGE,C,2,,-,0,黄,3,麦わらの一味,【起動メイン】このステージをレストにし、自分のライフの上から1枚を表向きにできる：自分の特徴《麦わらの一味》を持つキャラ1枚までを、次の相手のターン終了時まで、パワー+1000。,,エクストラブースター Anime 25th collection【EB-02】
モンキー・D・ルフィ,EB02-061,EB02-061,CHARACTER,SEC,6,打,7000,0,紫,3,W7/麦わらの一味,自分のリーダーが多色で、相手の場のドン‼が5枚以上ある場合、このキャラは【速攻】を得る。【アタック時】【ターン1回】自分のアクティブのドン‼2枚をドン‼デッキに戻すことができる：このキャラをアクティブにする。その後、自分のライフの上から1枚を手札に加える。,,エクストラブースター Anime 25th collection【EB-02】
ネフェルタリ・ビビ,EB03-001,EB03-001,LEADER,L,-,斬,5000,0,赤/青,4,アラバスタ王国,【ターン1回】自分の元々のコスト4以上のキャラがKOされる場合、代わりに自分の手札1枚を捨てることができる。【起動メイン】このリーダーをレストにできる：相手のキャラ1枚までを、このターン中、パワー-2000。その後、自分の【アタック時】効果を持たないキャラ1枚までは、このターン中、【速攻】を得る。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
アイン,EB03-002,EB03-002,CHARACTER,C,5,特,6000,2000,赤,4,FILM/NEO海軍,-,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ウタ,EB03-003,EB03-003,CHARACTER,SR,5,特,7000,0,赤,4,FILM,【登場時】自分のリーダーが「ウタ」の場合、カード2枚を引く。その後、自分の手札からパワー6000以下の元々の効果のないキャラカード1枚までを、登場させる。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
カリーナ,EB03-004,EB03-004,CHARACTER,C,3,知,2000,1000,赤,4,FILM/グラン・テゾーロ,【ブロッカー】【相手のターン中】自分のリーダーが多色で、自分の元々のパワー6000以上のキャラがいない場合、このキャラのパワー+4000。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
シュガー,EB03-005,EB03-005,CHARACTER,R,3,特,-,1000,赤,4,ドンキホーテ海賊団,【登場時】自分のリーダーが「シュガー」の場合、自分の手札からパワー6000以下の特徴《ドンキホーテ海賊団》を持つキャラカード1枚までを、レストで登場させる。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ナミ,EB03-006,EB03-006,CHARACTER,R,5,知,7000,0,赤,4,アラバスタ王国/麦わらの一味,【登場時】自分のアクティブのリーダーを、このターン中、パワー-5000することができる：カード1枚を引く。【起動メイン】【ターン1回】自分のリーダーが特徴《アラバスタ王国》を持つ場合、相手のキャラ1枚までを、このターン中、パワー-1000。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
バカラ,EB03-007,EB03-007,CHARACTER,C,4,特,5000,1000,赤,4,FILM/グラン・テゾーロ,【ブロッカー】【KO時】自分の手札からパワー6000以下の元々の効果のないキャラカード1枚までを、登場させる。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ひばり,EB03-008,EB03-008,CHARACTER,R,3,射,5000,0,赤,4,海軍/SWORD,【登場時】/【アタック時】自分の特徴《SWORD》を持つ、リーダーかキャラ1枚までは、このターン中、アクティブのキャラにもアタックできる。【起動メイン】【ターン1回】相手のキャラ1枚までを、このターン中、パワー-1000。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
マキノ,EB03-009,EB03-009,CHARACTER,C,1,知,-,2000,赤,4,フーシャ村,【起動メイン】このキャラをレストにできる：自分の元々の効果のないキャラ1枚までを、このターン中、パワー+2000。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
モネ,EB03-010,EB03-010,CHARACTER,R,5,特,6000,1000,赤,4,パンクハザード/ドンキホーテ海賊団,【ブロッカー】【登場時】自分のデッキの上から5枚を見て、パワー1000以下のキャラカードかイベント1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
いつかまた会えたら!!!もう一度 仲間と呼んでくれますか!!!?,EB03-011,EB03-011,EVENT,C,1,,-,0,赤,4,アラバスタ王国,【カウンター】自分のリーダーが「ネフェルタリ・ビビ」の場合、自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。,【トリガー】相手のキャラ1枚までを、このターン中、パワー-2000。,エクストラブースター ONE PIECE Heroines Edition【EB-03】
お玉,EB03-012,EB03-012,CHARACTER,R,2,特,-,2000,緑,4,ワノ国,【起動メイン】このキャラをレストにできる：相手の、コスト3以下の、特徴《動物》か《SMILE》を持つキャラかドン‼1枚までを、レストにする。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
キャロット,EB03-013,EB03-013,CHARACTER,R,6,特,7000,1000,緑,4,ミンク族,【起動メイン】【ターン1回】このキャラが登場したターンの場合、相手のレストのコスト5以下のキャラ1枚までを、KOする。その後、自分の手札から「ゾウ」1枚までを、登場させる。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
くいな,EB03-014,EB03-014,CHARACTER,C,2,斬,-,1000,緑,4,東の海/シモツキ村,【起動メイン】このキャラをレストにできる：自分の属性(斬)を持つリーダーにレストのドン‼2枚までを、付与する。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ケイミー,EB03-015,EB03-015,CHARACTER,C,2,知,-,1000,緑,4,人魚族/魚人島,【起動メイン】このキャラをレストにできる：自分の特徴《魚人族》か《人魚族》を持つ、リーダーかキャラ1枚にレストのドン‼1枚までを、付与する。その後、相手のコスト2以下のキャラ1枚までを、レストにする。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
光月日和,EB03-016,EB03-016,CHARACTER,C,1,知,-,0,緑,4,ワノ国/光月家,【登場時】自分のリーダーが「光月おでん」の場合、カード1枚を引く。【起動メイン】このキャラをトラッシュに置くことができる：自分の特徴《ワノ国》を持つリーダーにレストのドン‼1枚までを、付与する。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ジュエリー・ボニー,EB03-017,EB03-017,CHARACTER,R,5,特,6000,1000,緑,4,超新星/ボニー海賊団,【登場時】自分のリーダーが特徴《超新星》を持つ場合、自分のドン‼1枚までを、アクティブにする。その後、相手のコスト8以下のキャラ1枚までは、次の相手のエンドフェイズ終了時まで、レストにできない。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
たしぎ,EB03-018,EB03-018,CHARACTER,SR,4,斬,6000,0,緑,4,海軍,【相手のターン中】このキャラは相手の効果でKOされず、【ブロッカー】を得る。【自分のターン終了時】自分のドン‼1枚をレストにし、自分の手札1枚を捨てることができる：このキャラをアクティブにする。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ワンダ,EB03-019,EB03-019,CHARACTER,C,6,斬,7000,1000,緑,4,ミンク族,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,エクストラブースター ONE PIECE Heroines Edition【EB-03】
出た!負け惜しみ～,EB03-020,EB03-020,EVENT,C,1,,-,0,緑,4,FILM,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。その後、自分の特徴《FILM》を持つキャラが2枚以上いる場合、そのカードを、このバトル中、パワー+2000。,【トリガー】自分のキャラ1枚までを、アクティブにする。,エクストラブースター ONE PIECE Heroines Edition【EB-03】
アルビダ,EB03-021,EB03-021,CHARACTER,C,4,打,2000,1000,青,4,クロスギルド,【登場時】自分の手札1枚を捨てることができる：相手の元々の、パワー4000以下のキャラ1枚までとコスト3以下のキャラ1枚までを、持ち主のデッキの下に置く。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
イスカ,EB03-022,EB03-022,CHARACTER,R,6,斬,6000,1000,青,4,海軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】コスト4以下のキャラ1枚までを、持ち主のデッキの下に置く。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
カヤ,EB03-023,EB03-023,CHARACTER,C,2,知,-,2000,青,4,東の海,【登場時】自分のデッキの上から5枚を見て、好きな順番に並び替え、デッキの上か下に置く。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ネフェルタリ・ビビ,EB03-024,EB03-024,CHARACTER,SR,5,知,4000,1000,青,4,アラバスタ王国,【ブロッカー】【登場時】自分の手札からコスト5以下の、特徴《アラバスタ王国》か《麦わらの一味》を持つキャラカード1枚までを、登場させる。その後、自分は、このターン中、自分の場にキャラカードを登場できない。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ヒナ,EB03-025,EB03-025,CHARACTER,R,5,特,6000,1000,青,4,海軍,【登場時】自分の手札1枚を捨てることができる：元々のパワー6000のキャラ1枚までを、持ち主の手札に戻す。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ボア・ハンコック,EB03-026,EB03-026,CHARACTER,SR,6,特,8000,0,青,4,王下七武海/九蛇海賊団,【登場時】相手の手札が5枚以上ある場合、相手は自身の手札1枚をデッキの下に置く。【起動メイン】【ターン1回】自分のキャラ1枚を持ち主のデッキの下に置くことができる：自分のリーダーとキャラ1枚にレストのドン‼1枚ずつまでを、付与する。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
マーガレット,EB03-027,EB03-027,CHARACTER,R,6,知,7000,1000,青,4,アマゾン・リリー,【登場時】元々のパワー7000のキャラ1枚までを、持ち主の手札に戻す。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ユウ,EB03-028,EB03-028,CHARACTER,C,2,知,-,1000,青,4,東の海,【登場時】自分の手札1枚を捨てる。【起動メイン】このキャラをトラッシュに置くことができる：自分の手札が4枚以下の場合、カード2枚を引く。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
不届き者‼控えよ‼,EB03-029,EB03-029,EVENT,C,1,,-,0,青,4,王下七武海/九蛇海賊団,【メイン】自分のドン‼4枚をレストにできる：自分のリーダーが「ボア・ハンコック」の場合、自分の手札からコスト6以下の、特徴《アマゾン・リリー》か《九蛇海賊団》を持つキャラカード1枚までを、登場させる。【カウンター】自分の「ボア・ハンコック」1枚までを、このバトル中、パワー+3000。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ヴィオラ,EB03-030,EB03-030,CHARACTER,C,5,特,6000,2000,紫,4,ドレスローザ,-,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ヴィンスモーク・レイジュ,EB03-031,EB03-031,CHARACTER,SR,5,特,5000,1000,紫,4,ヴィンスモーク家/ジェルマ66,【自分のターン中】【登場時】ドン‼-1：自分のリーダーが「サンジ」の場合、自分のトラッシュにあるコスト7以下のイベント1枚までの、【メイン】効果を発動する。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
シャーロット・フランペ,EB03-032,EB03-032,CHARACTER,C,1,射,2000,1000,紫,4,ビッグ・マム海賊団,【自分のターン中】【登場時】自分の「シャーロット・カタクリ」1枚までを、このターン中、パワー+2000。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
シャーロット・ブリュレ,EB03-033,EB03-033,CHARACTER,C,5,特,6000,1000,紫,4,ビッグ・マム海賊団,【相手のターン中】【ターン1回】自分の場のドン‼が自分の効果によってドン‼デッキに戻された時、自分のリーダーが特徴《ビッグ・マム海賊団》を持つ場合、ドン‼デッキからドン‼1枚までを、レストで追加する。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
シャーロット・リンリン,EB03-034,EB03-034,CHARACTER,R,7,特,7000,1000,紫,4,ロックス海賊団,【登場時】カード1枚を引き、自分の手札1枚をデッキの上に置く。その後、ドン‼デッキからドン‼1枚までを、アクティブで追加する。【KO時】ドン‼-1：自分のデッキの上から1枚までを、ライフの上に加える。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
シャーロット・プリン,EB03-035,EB03-035,CHARACTER,R,4,知,4000,2000,紫,4,ビッグ・マム海賊団,【ブロッカー】【登場時】自分の場のドン‼が相手の場のドン‼の枚数以下の場合、ドン‼デッキからドン‼1枚までを、レストで追加する。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ベビー５,EB03-036,EB03-036,CHARACTER,C,4,特,2000,1000,紫,4,ドンキホーテ海賊団,【登場時】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手の元々のコスト3以下のキャラ2枚までを、KOする。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
リム,EB03-037,EB03-037,CHARACTER,R,4,知,5000,2000,紫,4,ODYSSEY,【登場時】自分の場のドン‼が7枚以上ある場合、自分の特徴《ODYSSEY》を持つ、リーダーとキャラすべてを、次の相手のエンドフェイズ終了時まで、パワー+1000。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ごち♡,EB03-038,EB03-038,EVENT,C,1,,-,0,紫,4,ヴィンスモーク家/ジェルマ66,【メイン】自分のドン‼1枚をレストにできる：自分の場のドン‼が相手の場のドン‼の枚数以下で、自分のキャラが『ジェルマ』を含む特徴を持つキャラのみの場合、ドン‼デッキからドン‼2枚までを、レストで追加する。【カウンター】自分のリーダーを、このバトル中、パワー+3000。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
うるティ,EB03-039,EB03-039,CHARACTER,R,6,打,7000,1000,黒,4,百獣海賊団,【登場時】自分のリーダーが特徴《百獣海賊団》を持つ場合、カード1枚を引き、自分の手札1枚を捨てる。その後、自分のトラッシュからパワー6000以下の元々の効果のないキャラカード1枚までを、登場させる。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
カリファ,EB03-040,EB03-040,CHARACTER,C,5,特,6000,2000,黒,4,CP9,-,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
孔雀,EB03-041,EB03-041,CHARACTER,R,4,特,6000,0,黒,4,海軍/SWORD,【相手のターン中】自分のコスト6以下の特徴《SWORD》を持つキャラすべてを、パワー+2000。【登場時】自分の手札から特徴《海軍》を持つカード1枚を捨てることができる：カード2枚を引く。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
コアラ,EB03-042,EB03-042,CHARACTER,SR,4,打,5000,1000,黒,4,ドレスローザ/革命軍,自分のリーダーが特徴《革命軍》を持つ場合、このキャラのコスト+4。【相手のターン中】【KO時】自分の手札かトラッシュから「コアラ」以外のコスト6以下の、特徴《革命軍》を持つキャラカードか「ニコ・ロビン」1枚までを、登場させる。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ステューシー,EB03-043,EB03-043,CHARACTER,R,7,特,7000,0,黒,4,CP0,【ブロッカー】【登場時】自分のトラッシュから『CP』を含む特徴を持つカード2枚を好きな順番でデッキの下に置くことができる：相手のコスト4以下のキャラ1枚までを、KOする。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ブラックマリア,EB03-044,EB03-044,CHARACTER,C,3,特,4000,1000,黒,4,百獣海賊団,自分のリーダーが多色の場合、このキャラは【ブロッカー】を得る。【登場時】自分のデッキの上から5枚を見て、「鬼ヶ島」1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置き、自分の手札から「鬼ヶ島」1枚までを、登場させる。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ペローナ,EB03-045,EB03-045,CHARACTER,SR,4,特,6000,0,黒,4,シッケアール王国/スリラーバーク海賊団,【ブロッカー】【登場時】自分のリーダーかキャラ1枚にレストのドン‼1枚までを、付与する。その後、自分のトラッシュが10枚以上ある場合、自分のトラッシュからコスト2以下の特徴《スリラーバーク海賊団》を持つキャラカード1枚までを、レストで登場させる。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ミス・ダブルフィンガー(ザラ),EB03-046,EB03-046,CHARACTER,C,4,斬,5000,1000,黒,4,B・W,【登場時】コスト0か8以上のキャラがいる場合、カード1枚を引く。【KO時】自分のデッキの上から2枚をトラッシュに置く。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ミス・バレンタイン(ミキータ),EB03-047,EB03-047,CHARACTER,C,2,打,2000,1000,黒,4,B・W,【登場時】自分のデッキの上から3枚をトラッシュに置く。【KO時】カード1枚を引く。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
レベッカ,EB03-048,EB03-048,CHARACTER,R,2,知,-,1000,黒,4,ドレスローザ,【ブロッカー】【登場時】自分のデッキの上から5枚を見て、特徴《ドレスローザ》を持つステージカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置き、自分の手札からコスト1の特徴《ドレスローザ》を持つステージカード1枚までを、登場させる。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
やっぱりお前らかこの大騒ぎ,EB03-049,EB03-049,EVENT,C,1,,-,0,黒,4,スリラーバーク海賊団,【メイン】自分のドン‼7枚をレストにできる：自分のリーダーが「ペローナ」の場合、自分の手札かトラッシュから特徴《スリラーバーク海賊団》を持つ、コスト6以下とコスト4以下のキャラカード1枚ずつまでを、登場させる。【カウンター】自分のリーダーを、このバトル中、パワー+3000。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
コニス,EB03-050,EB03-050,CHARACTER,C,2,知,-,1000,黄,4,空島,【登場時】自分の特徴《空島》を持つキャラ1枚までは、このターン中、【ダブルアタック】を得る。(このカードが与えるダメージは2になる),,エクストラブースター ONE PIECE Heroines Edition【EB-03】
シャーロット・スムージー,EB03-051,EB03-051,CHARACTER,C,3,特,3000,2000,黄,4,ビッグ・マム海賊団,【登場時】自分の表向きのライフがある場合、相手のコスト2以下のキャラ1枚までを、KOする。その後、自分のライフすべてを裏向きにする。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
しらほし,EB03-052,EB03-052,CHARACTER,R,3,知,-,1000,黄,4,人魚族/魚人島,【起動メイン】このキャラをトラッシュに置くことができる：自分のリーダーが「しらほし」の場合、自分のデッキの上から1枚を、ライフの上に加える。その後、自分の特徴《海王類》を持つキャラすべてを、このターン中、パワー+1000。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ナミ,EB03-053,EB03-053,CHARACTER,SR,5,特,6000,1000,黄,4,麦わらの一味,【登場時】自分のリーダーにレストのドン‼1枚までを、付与する。その後、相手のライフが3枚以上の場合、相手のライフの上から1枚までを、持ち主の手札に加える。【KO時】自分のライフの上から1枚を表向きにできる：自分の手札からパワー6000以下のキャラカード1枚までを、登場させる。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ニコ・ロビン,EB03-054,EB03-054,CHARACTER,C,3,打,5000,0,黄,4,麦わらの一味,【登場時】自分のライフの上から1枚をトラッシュに置くことができる：自分のデッキの上から1枚までを、ライフの上に加える。,【トリガー】自分の手札1枚を捨てることができる：このカードを登場させる。,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ニコ・ロビン,EB03-055,EB03-055,CHARACTER,SR,7,打,8000,0,黄,4,麦わらの一味,【登場時】自分のライフの上から1枚をトラッシュに置くことができる：自分のリーダーが特徴《麦わらの一味》を持つ場合、自分のデッキの上から2枚までを、ライフの上に加える。【相手のターン中】【KO時】相手に1ダメージを与えてもよい。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ベロ・ベティ,EB03-056,EB03-056,CHARACTER,C,4,特,3000,2000,黄,4,革命軍,【登場時】自分のライフの上から1枚を表向きにできる：相手の元々のコスト3以下のキャラ1枚までを、KOする。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ヤマト,EB03-057,EB03-057,CHARACTER,R,5,打,6000,1000,黄,4,ワノ国,【登場時】自分の特徴《ワノ国》を持つリーダーにレストのドン‼3枚までを、付与する。【KO時】相手のライフの上から1枚までを、トラッシュに置く。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
リリス,EB03-058,EB03-058,CHARACTER,R,5,知,6000,1000,黄,4,エッグヘッド/科学者,【自分のターン中】【登場時】自分のライフが2枚以下の場合、カード1枚を引く。,【トリガー】自分のリーダーが「ベガパンク」の場合、このカードを登場させる。,エクストラブースター ONE PIECE Heroines Edition【EB-03】
S-スネーク,EB03-059,EB03-059,CHARACTER,R,6,特,7000,1000,黄,4,セラフィム/エッグヘッド,【登場時】自分のリーダーが特徴《エッグヘッド》を持ち、自分のライフが2枚以上の場合、自分の手札から【トリガー】を持つキャラカード1枚までを、ライフの上に表向きで加える。,【トリガー】相手の「モンキー・Ｄ・ルフィ」以外のコスト6以下のキャラ1枚までは、このターン中、アタックできない。,エクストラブースター ONE PIECE Heroines Edition【EB-03】
私のしもべになる？,EB03-060,EB03-060,EVENT,C,1,,-,0,黄,4,麦わらの一味,【メイン】自分のリーダーが「ナミ」の場合、自分のデッキの上から4枚を見て、コスト2から8のカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【メイン】効果を発動する。,エクストラブースター ONE PIECE Heroines Edition【EB-03】
ウタ,EB03-061,EB03-061,CHARACTER,SEC,7,特,8000,0,緑,4,FILM,【起動メイン】【ターン1回】自分のドン‼1枚までを、アクティブにする。その後、相手の、コスト4以下のキャラかドン‼1枚までを、レストにする。【自分のターン終了時】自分のドン‼1枚をレストにできる：自分の特徴《FILM》を持つキャラ1枚までを、アクティブにする。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
トラファルガー・ロー,EB03-062,EB03-062,CHARACTER,SEC,8,斬,6000,1000,黄,4,ハートの海賊団,【速攻】【起動メイン】自分の手札1枚を捨て、このキャラをトラッシュに置くことができる：自分のデッキの上から1枚までを、ライフの上に加える。その後、自分の手札からコスト7以下の「トラファルガー・ロー」1枚までを、登場させる。,,エクストラブースター ONE PIECE Heroines Edition【EB-03】
サンジ,PRB01-001,PRB01-001,LEADER,L,-,打,5000,0,赤,3,麦わらの一味,【起動メイン】【ターン1回】自分のコスト8以下の【登場時】効果を持たないキャラ1枚までは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,ONE PIECE CARD THE BEST【PRB-01】
コビー,PRB02-001,PRB02-001,CHARACTER,R,4,打,5000,1000,赤,3,海軍/SWORD,【相手のターン中】自分のリーダーが特徴《海軍》を持つ場合、このキャラのパワー+1000。【アタック時】相手の元々のパワー3000以下のキャラ1枚までを、KOする。その後、自分の手札が6枚以下の場合、カード1枚を引く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
トラファルガー・ロー,PRB02-002,PRB02-002,CHARACTER,SR,6,斬,7000,1000,赤,3,パンクハザード/王下七武海/ハートの海賊団,【ターン1回】このキャラが相手の効果で場を離れる場合、代わりにこのキャラを、このターン中、パワー-2000できる。【アタック時】相手のキャラ1枚までを、このターン中、パワー-2000。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
ラッキー・ルウ,PRB02-003,PRB02-003,CHARACTER,R,4,射,2000,1000,赤,3,赤髪海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分の手札からパワー6000以上のキャラカード1枚を捨てることができる：カード2枚を引く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
ジュエリー・ボニー,PRB02-004,PRB02-004,CHARACTER,R,3,特,3000,1000,緑,3,超新星/ボニー海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【相手のアタック時】【ターン1回】自分のドン‼1枚までを、アクティブにする。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
モンキー・Ｄ・ルフィ,PRB02-005,PRB02-005,CHARACTER,SR,4,打,5000,1000,緑,3,超新星/麦わらの一味,【自分のターン中】【登場時】自分のリーダーが多色で、相手の場のドン‼が7枚以下の場合、次の相手のメインフェイズ開始時、相手は自身のアクティブのドン‼1枚をレストにする。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
ロロノア・ゾロ,PRB02-006,PRB02-006,CHARACTER,R,4,斬,4000,2000,緑,3,超新星/麦わらの一味,【相手のターン中】このキャラが相手のキャラの効果でレストになる場合、代わりに自分の他のキャラ1枚をレストにできる。【ブロッカー】,,ONE PIECE CARD THE BEST vol.2【PRB-02】
ジンベエ,PRB02-007,PRB02-007,CHARACTER,R,4,打,5000,1000,青,3,魚人族/王下七武海/タイヨウの海賊団,【登場時】自分のデッキの上から5枚を見て、「ジンベエ」以外の特徴《王下七武海》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。【アタック時】コスト1以下のキャラ1枚までを、持ち主のデッキの下に置く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
マルコ,PRB02-008,PRB02-008,CHARACTER,SR,4,特,6000,0,青,3,ワノ国/元白ひげ海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【KO時】カード2枚を引く。,,ONE PIECE CARD THE BEST vol.2【PRB-02】
